!!NAME	NICK NAME
MARGARET	MAGGIE
MARGARET	MAISIE
MARGARET	MARGE
MARGARET	MARGO
MARGARET	MEG
MARGARET	MEGAN
MARGARET	METTA
MARGARET	MIDGE
MARGARET	PEGGIE
MARGARITA	RITA
MARGARITA	DAISY
MARGARITA	GRETA
MARGARITA	MADGE
MARGARITA	MAGGIE
MARGARITA	MAISIE
MARGARITA	MARGE
MARGARITA	MARGO
MARGARITA	MEG
MARGARITA	MEGAN
MARGARITA	METTA
MARGARITA	MIDGE
MARGARITA	PEGGIE
MARIAH	MARIA
MARIAH	MARY
MARIE	MAE
!! MARION	#NAME?
MARIAN	MARIANNA
MARILYN	MARY
MARISSA	RISSA
MARJORIE	MADGE
MARJORIE	MARGE
MARJORIE	MARGIE
MARSHA	MARCIE
MARSHA	MARY
MARTHA	MARNIE
MARTHA	MART
MARTHA	MARTY
MARTHA	MAT
MARTHA	MATTIE
MARTHA	PATSY
MARTHA	PATTY
MARTINE	TINE
MARVIN	MARV
MARVIN	MERV
MARVIN	MERVYN
MARY	MAE
MARY	MAMIE
MARY	MARIA
MARY	MARIAH
MARY	MARIE
MARY	MARIETTA
MARY	MARION
MARY	MAUREEN
MARY	MAY
MARY	MERCY
MARY	MINNIE
MARY	MITZI
MARY	MOLLIE
MARY	MOLLY
MARY	POLLY
MARY	MAURA
MARY	MOIRA
MARY	AMERICA
MARY	DEMARIS
MATTHEW	MATT
MATTHEW	MATTHIAS
MATHILDA	PATTY
MATHILDA	TILLIE
MATILDA	MAT
MATILDA	MATTY
MATILDA	MAUD
MATILDA	TILDA
MATILDA	TILLIE
MARGUERITE	PEGGY
MAUREEN	MARY
MAURICE	MAURY
MAURICE	MORRIS
MAURICE	MOSSIE
MAVINE	MAVE
MAVERY	MAVE
